,Date,Matchday,Home team.1,Away team.1,Result,min_played,subbed_on,subbed_off,player_name,club
0,2022-11-24,Group G,Switzerland,Cameroon,1:0,90,,,Manuel Akanji,Manchester City
1,2022-11-28,Group G,Brazil,Switzerland,1:0,90,,,Manuel Akanji,Manchester City
2,2022-12-02,Group G,Serbia,Switzerland,2:3,90,,,Manuel Akanji,Manchester City
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,90,,,Manuel Akanji,Manchester City
0,2022-11-24,Group H,Portugal,Ghana,3:2,90,,,João Cancelo,Manchester City
1,2022-11-28,Group H,Portugal,Uruguay,2:0,90,,,João Cancelo,Manchester City
2,2022-12-02,Group H,South Korea,Portugal,2:1,90,,,João Cancelo,Manchester City
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,0,on the bench,on the bench,João Cancelo,Manchester City
4,2022-12-10,Quarter-Finals,Morocco,Portugal,1:0,39,51',,João Cancelo,Manchester City
0,2022-11-23,Group E,Spain,Costa Rica,7:0,90,,,Aymeric Laporte,Manchester City
1,2022-11-27,Group E,Spain,Germany,1:1,90,,,Aymeric Laporte,Manchester City
2,2022-12-01,Group E,Japan,Spain,2:1,0,on the bench,on the bench,Aymeric Laporte,Manchester City
3,2022-12-06,Round of 16,Morocco,Spain,3:0 on pens,120,,,Aymeric Laporte,Manchester City
0,2022-11-21,Group B,England,Iran,6:2,19,71',,Phil Foden,Manchester City
1,2022-11-25,Group B,England,USA,0:0,0,on the bench,on the bench,Phil Foden,Manchester City
2,2022-11-29,Group B,Wales,England,0:3,90,,,Phil Foden,Manchester City
3,2022-12-04,Round of 16,England,Senegal,3:0,65,,65',Phil Foden,Manchester City
4,2022-12-10,Quarter-Finals,England,France,1:2,85,,85',Phil Foden,Manchester City
0,2022-11-24,Group H,Portugal,Ghana,3:2,90,,,Rúben Dias,Manchester City
1,2022-11-28,Group H,Portugal,Uruguay,2:0,90,,,Rúben Dias,Manchester City
2,2022-12-02,Group H,South Korea,Portugal,2:1,0,on the bench,on the bench,Rúben Dias,Manchester City
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,90,,,Rúben Dias,Manchester City
4,2022-12-10,Quarter-Finals,Morocco,Portugal,1:0,90,,,Rúben Dias,Manchester City
0,2022-11-21,Group B,England,Iran,6:2,90,,,John Stones,Manchester City
1,2022-11-25,Group B,England,USA,0:0,90,,,John Stones,Manchester City
2,2022-11-29,Group B,Wales,England,0:3,90,,,John Stones,Manchester City
3,2022-12-04,Round of 16,England,Senegal,3:0,77,,77',John Stones,Manchester City
4,2022-12-10,Quarter-Finals,England,France,1:2,90,,90',John Stones,Manchester City
0,2022-11-23,Group E,Spain,Costa Rica,7:0,90,,,Rodri,Manchester City
1,2022-11-27,Group E,Spain,Germany,1:1,90,,,Rodri,Manchester City
2,2022-12-01,Group E,Japan,Spain,2:1,90,,,Rodri,Manchester City
3,2022-12-06,Round of 16,Morocco,Spain,3:0 on pens,120,,,Rodri,Manchester City
0,2022-11-22,Group C,Argentina,Saudi Arabia,1:2,31,59',,Julián Álvarez,Manchester City
1,2022-11-26,Group C,Argentina,Mexico,2:0,27,63',,Julián Álvarez,Manchester City
2,2022-11-30,Group C,Poland,Argentina,0:2,79,,79',Julián Álvarez,Manchester City
3,2022-12-03,Round of 16,Argentina,Australia,2:1,71,,71',Julián Álvarez,Manchester City
4,2022-12-09,Quarter-Finals,Netherlands,Argentina,5:6 on pens,82,,82',Julián Álvarez,Manchester City
5,2022-12-13,Semi-Finals,Argentina,Croatia,3:0,74,,74',Julián Álvarez,Manchester City
6,2022-12-18,Final,Argentina,France,7:5 on pens,103,,103',Julián Álvarez,Manchester City
0,2022-11-21,Group B,England,Iran,6:2,19,71',,Jack Grealish,Manchester City
1,2022-11-25,Group B,England,USA,0:0,22,68',,Jack Grealish,Manchester City
2,2022-11-29,Group B,Wales,England,0:3,14,76',,Jack Grealish,Manchester City
3,2022-12-04,Round of 16,England,Senegal,3:0,25,65',,Jack Grealish,Manchester City
4,2022-12-10,Quarter-Finals,England,France,1:2,1,90',,Jack Grealish,Manchester City
0,2022-11-21,Group B,England,Iran,6:2,0,on the bench,on the bench,Kalvin Phillips,Manchester City
1,2022-11-25,Group B,England,USA,0:0,0,on the bench,on the bench,Kalvin Phillips,Manchester City
2,2022-11-29,Group B,Wales,England,0:3,32,58',,Kalvin Phillips,Manchester City
3,2022-12-04,Round of 16,England,Senegal,3:0,8,82',,Kalvin Phillips,Manchester City
4,2022-12-10,Quarter-Finals,England,France,1:2,0,on the bench,on the bench,Kalvin Phillips,Manchester City
0,2022-11-24,Group H,Portugal,Ghana,3:2,88,,88',Bernardo Silva,Manchester City
1,2022-11-28,Group H,Portugal,Uruguay,2:0,90,,,Bernardo Silva,Manchester City
2,2022-12-02,Group H,South Korea,Portugal,2:1,9,81',,Bernardo Silva,Manchester City
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,81,,81',Bernardo Silva,Manchester City
4,2022-12-10,Quarter-Finals,Morocco,Portugal,1:0,90,,,Bernardo Silva,Manchester City
0,2022-11-21,Group A,Senegal,Netherlands,0:2,90,,,Nathan Aké,Manchester City
1,2022-11-25,Group A,Netherlands,Ecuador,1:1,90,,,Nathan Aké,Manchester City
2,2022-11-29,Group A,Netherlands,Qatar,2:0,90,,,Nathan Aké,Manchester City
3,2022-12-03,Round of 16,Netherlands,USA,3:1,90,,90',Nathan Aké,Manchester City
4,2022-12-09,Quarter-Finals,Netherlands,Argentina,5:6 on pens,120,,,Nathan Aké,Manchester City
0,2022-11-21,Group B,England,Iran,6:2,0,Fitness,Fitness,Kyle Walker,Manchester City
1,2022-11-25,Group B,England,USA,0:0,0,on the bench,on the bench,Kyle Walker,Manchester City
2,2022-11-29,Group B,Wales,England,0:3,57,,57',Kyle Walker,Manchester City
3,2022-12-04,Round of 16,England,Senegal,3:0,90,,,Kyle Walker,Manchester City
4,2022-12-10,Quarter-Finals,England,France,1:2,90,,,Kyle Walker,Manchester City
0,2022-11-23,Group E,Germany,Japan,1:2,67,,67',Ilkay Gündogan,Manchester City
1,2022-11-27,Group E,Spain,Germany,1:1,70,,70',Ilkay Gündogan,Manchester City
2,2022-12-01,Group E,Costa Rica,Germany,2:4,55,,55',Ilkay Gündogan,Manchester City
0,2022-11-23,Group F,Belgium,Canada,1:0,90,,,Kevin De Bruyne,Manchester City
1,2022-11-27,Group F,Belgium,Morocco,0:2,90,,,Kevin De Bruyne,Manchester City
2,2022-12-01,Group F,Croatia,Belgium,0:0,90,,,Kevin De Bruyne,Manchester City
0,2022-11-24,Group G,Brazil,Serbia,2:0,0,on the bench,on the bench,Ederson,Manchester City
1,2022-11-28,Group G,Brazil,Switzerland,1:0,0,on the bench,on the bench,Ederson,Manchester City
2,2022-12-02,Group G,Cameroon,Brazil,1:0,90,,,Ederson,Manchester City
3,2022-12-05,Round of 16,Brazil,South Korea,4:1,0,on the bench,on the bench,Ederson,Manchester City
4,2022-12-09,Quarter-Finals,Croatia,Brazil,5:3 on pens,0,on the bench,on the bench,Ederson,Manchester City
0,2022-11-24,Group G,Brazil,Serbia,2:0,90,,,Alisson,Liverpool FC
1,2022-11-28,Group G,Brazil,Switzerland,1:0,90,,,Alisson,Liverpool FC
2,2022-12-02,Group G,Cameroon,Brazil,1:0,0,on the bench,on the bench,Alisson,Liverpool FC
3,2022-12-05,Round of 16,Brazil,South Korea,4:1,80,,80',Alisson,Liverpool FC
4,2022-12-09,Quarter-Finals,Croatia,Brazil,5:3 on pens,120,,,Alisson,Liverpool FC
0,2022-11-24,Group H,Uruguay,South Korea,0:0,90,,,Darwin Núñez,Liverpool FC
1,2022-11-28,Group H,Portugal,Uruguay,2:0,72,,72',Darwin Núñez,Liverpool FC
2,2022-12-02,Group H,Ghana,Uruguay,0:2,80,,80',Darwin Núñez,Liverpool FC
0,2022-11-24,Group G,Brazil,Serbia,2:0,0,on the bench,on the bench,Fabinho,Liverpool FC
1,2022-11-28,Group G,Brazil,Switzerland,1:0,0,on the bench,on the bench,Fabinho,Liverpool FC
2,2022-12-02,Group G,Cameroon,Brazil,1:0,90,,,Fabinho,Liverpool FC
3,2022-12-05,Round of 16,Brazil,South Korea,4:1,0,on the bench,on the bench,Fabinho,Liverpool FC
4,2022-12-09,Quarter-Finals,Croatia,Brazil,5:3 on pens,0,on the bench,on the bench,Fabinho,Liverpool FC
0,2022-11-22,Group D,France,Australia,4:1,90,,,Ibrahima Konaté,Liverpool FC
1,2022-11-26,Group D,France,Denmark,2:1,15,75',,Ibrahima Konaté,Liverpool FC
2,2022-11-30,Group D,Tunisia,France,1:0,90,,,Ibrahima Konaté,Liverpool FC
3,2022-12-04,Round of 16,France,Poland,3:1,0,on the bench,on the bench,Ibrahima Konaté,Liverpool FC
4,2022-12-10,Quarter-Finals,England,France,1:2,0,on the bench,on the bench,Ibrahima Konaté,Liverpool FC
5,2022-12-14,Semi-Finals,France,Morocco,2:0,90,,,Ibrahima Konaté,Liverpool FC
6,2022-12-18,Final,Argentina,France,7:5 on pens,7,113',,Ibrahima Konaté,Liverpool FC
0,2022-11-21,Group B,England,Iran,6:2,0,on the bench,on the bench,Trent Alexander-Arnold,Liverpool FC
1,2022-11-25,Group B,England,USA,0:0,0,on the bench,on the bench,Trent Alexander-Arnold,Liverpool FC
2,2022-11-29,Group B,Wales,England,0:3,33,57',,Trent Alexander-Arnold,Liverpool FC
3,2022-12-04,Round of 16,England,Senegal,3:0,0,on the bench,on the bench,Trent Alexander-Arnold,Liverpool FC
4,2022-12-10,Quarter-Finals,England,France,1:2,0,on the bench,on the bench,Trent Alexander-Arnold,Liverpool FC
0,2022-11-21,Group B,England,Iran,6:2,0,on the bench,on the bench,Jordan Henderson,Liverpool FC
1,2022-11-25,Group B,England,USA,0:0,21,69',,Jordan Henderson,Liverpool FC
2,2022-11-29,Group B,Wales,England,0:3,90,,,Jordan Henderson,Liverpool FC
3,2022-12-04,Round of 16,England,Senegal,3:0,82,,82',Jordan Henderson,Liverpool FC
4,2022-12-10,Quarter-Finals,England,France,1:2,79,,79',Jordan Henderson,Liverpool FC
0,2022-11-21,Group A,Senegal,Netherlands,0:2,90,,,Virgil van Dijk,Liverpool FC
1,2022-11-25,Group A,Netherlands,Ecuador,1:1,90,,,Virgil van Dijk,Liverpool FC
2,2022-11-29,Group A,Netherlands,Qatar,2:0,90,,,Virgil van Dijk,Liverpool FC
3,2022-12-03,Round of 16,Netherlands,USA,3:1,90,,,Virgil van Dijk,Liverpool FC
4,2022-12-09,Quarter-Finals,Netherlands,Argentina,5:6 on pens,120,,,Virgil van Dijk,Liverpool FC
0,2022-11-24,Group H,Portugal,Ghana,3:2,0,Calf Injury,Calf Injury,Diogo Jota,Liverpool FC
1,2022-11-28,Group H,Portugal,Uruguay,2:0,0,Calf Injury,Calf Injury,Diogo Jota,Liverpool FC
2,2022-12-02,Group H,South Korea,Portugal,2:1,0,Calf Injury,Calf Injury,Diogo Jota,Liverpool FC
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,0,Calf Injury,Calf Injury,Diogo Jota,Liverpool FC
4,2022-12-10,Quarter-Finals,Morocco,Portugal,1:0,0,Calf Injury,Calf Injury,Diogo Jota,Liverpool FC
0,2022-11-21,Group A,Senegal,Netherlands,0:2,90,,,Kalidou Koulibaly,Chelsea FC
1,2022-11-25,Group A,Qatar,Senegal,1:3,90,,,Kalidou Koulibaly,Chelsea FC
2,2022-11-29,Group A,Ecuador,Senegal,1:2,90,,,Kalidou Koulibaly,Chelsea FC
3,2022-12-04,Round of 16,England,Senegal,3:0,90,,,Kalidou Koulibaly,Chelsea FC
0,2022-11-21,Group B,England,Iran,6:2,71,,71',Mason Mount,Chelsea FC
1,2022-11-25,Group B,England,USA,0:0,90,,,Mason Mount,Chelsea FC
2,2022-11-29,Group B,Wales,England,0:3,0,on the bench,on the bench,Mason Mount,Chelsea FC
3,2022-12-04,Round of 16,England,Senegal,3:0,14,76',,Mason Mount,Chelsea FC
4,2022-12-10,Quarter-Finals,England,France,1:2,11,79',,Mason Mount,Chelsea FC
0,2022-11-23,Group E,Germany,Japan,1:2,79,,79',Kai Havertz,Chelsea FC
1,2022-11-27,Group E,Spain,Germany,1:1,0,on the bench,on the bench,Kai Havertz,Chelsea FC
2,2022-12-01,Group E,Costa Rica,Germany,2:4,23,67',,Kai Havertz,Chelsea FC
0,2022-11-23,Group E,Spain,Costa Rica,7:0,90,,,César Azpilicueta,Chelsea FC
1,2022-11-27,Group E,Spain,Germany,1:1,0,on the bench,on the bench,César Azpilicueta,Chelsea FC
2,2022-12-01,Group E,Japan,Spain,2:1,45,,46',César Azpilicueta,Chelsea FC
3,2022-12-06,Round of 16,Morocco,Spain,3:0 on pens,0,on the bench,on the bench,César Azpilicueta,Chelsea FC
0,2022-11-22,Group D,France,Australia,4:1,0,Hamstring Injury,Hamstring Injury,N'Golo Kanté,Chelsea FC
1,2022-11-26,Group D,France,Denmark,2:1,0,Hamstring Injury,Hamstring Injury,N'Golo Kanté,Chelsea FC
2,2022-11-30,Group D,Tunisia,France,1:0,0,Hamstring Injury,Hamstring Injury,N'Golo Kanté,Chelsea FC
3,2022-12-04,Round of 16,France,Poland,3:1,0,Hamstring Injury,Hamstring Injury,N'Golo Kanté,Chelsea FC
4,2022-12-10,Quarter-Finals,England,France,1:2,0,Hamstring Injury,Hamstring Injury,N'Golo Kanté,Chelsea FC
5,2022-12-14,Semi-Finals,France,Morocco,2:0,0,Hamstring Injury,Hamstring Injury,N'Golo Kanté,Chelsea FC
6,2022-12-18,Final,Argentina,France,7:5 on pens,0,Hamstring Injury,Hamstring Injury,N'Golo Kanté,Chelsea FC
0,2022-11-21,Group B,England,Iran,6:2,0,on the bench,on the bench,Conor Gallagher,Chelsea FC
1,2022-11-25,Group B,England,USA,0:0,0,on the bench,on the bench,Conor Gallagher,Chelsea FC
2,2022-11-29,Group B,Wales,England,0:3,0,on the bench,on the bench,Conor Gallagher,Chelsea FC
3,2022-12-04,Round of 16,England,Senegal,3:0,0,on the bench,on the bench,Conor Gallagher,Chelsea FC
4,2022-12-10,Quarter-Finals,England,France,1:2,0,on the bench,on the bench,Conor Gallagher,Chelsea FC
0,2022-11-23,Group F,Morocco,Croatia,0:0,90,,,Hakim Ziyech,Chelsea FC
1,2022-11-27,Group F,Belgium,Morocco,0:2,90,,,Hakim Ziyech,Chelsea FC
2,2022-12-01,Group F,Canada,Morocco,1:2,76,,76',Hakim Ziyech,Chelsea FC
3,2022-12-06,Round of 16,Morocco,Spain,3:0 on pens,120,,,Hakim Ziyech,Chelsea FC
4,2022-12-10,Quarter-Finals,Morocco,Portugal,1:0,82,,82',Hakim Ziyech,Chelsea FC
5,2022-12-14,Semi-Finals,France,Morocco,2:0,90,,,Hakim Ziyech,Chelsea FC
6,2022-12-17,Third Place Play-Off,Croatia,Morocco,2:1,90,,,Hakim Ziyech,Chelsea FC
0,2022-11-21,Group B,England,Iran,6:2,71,,71',Raheem Sterling,Chelsea FC
1,2022-11-25,Group B,England,USA,0:0,68,,68',Raheem Sterling,Chelsea FC
2,2022-11-29,Group B,Wales,England,0:3,0,on the bench,on the bench,Raheem Sterling,Chelsea FC
3,2022-12-04,Round of 16,England,Senegal,3:0,0,Not in squad,Not in squad,Raheem Sterling,Chelsea FC
4,2022-12-10,Quarter-Finals,England,France,1:2,11,79',,Raheem Sterling,Chelsea FC
0,2022-11-24,Group G,Switzerland,Cameroon,1:0,0,on the bench,on the bench,Denis Zakaria,Chelsea FC
1,2022-11-28,Group G,Brazil,Switzerland,1:0,0,on the bench,on the bench,Denis Zakaria,Chelsea FC
2,2022-12-02,Group G,Serbia,Switzerland,2:3,21,69',,Denis Zakaria,Chelsea FC
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,36,54',,Denis Zakaria,Chelsea FC
0,2022-11-23,Group F,Morocco,Croatia,0:0,79,,79',Mateo Kovacic,Chelsea FC
1,2022-11-27,Group F,Croatia,Canada,4:1,86,,86',Mateo Kovacic,Chelsea FC
2,2022-12-01,Group F,Croatia,Belgium,0:0,90,,90',Mateo Kovacic,Chelsea FC
3,2022-12-05,Round of 16,Japan,Croatia,2:4 on pens,99,,99',Mateo Kovacic,Chelsea FC
4,2022-12-09,Quarter-Finals,Croatia,Brazil,5:3 on pens,105,,105',Mateo Kovacic,Chelsea FC
5,2022-12-13,Semi-Finals,Argentina,Croatia,3:0,90,,,Mateo Kovacic,Chelsea FC
6,2022-12-17,Third Place Play-Off,Croatia,Morocco,2:1,90,,,Mateo Kovacic,Chelsea FC
0,2022-11-24,Group G,Brazil,Serbia,2:0,90,,,Thiago Silva,Chelsea FC
1,2022-11-28,Group G,Brazil,Switzerland,1:0,90,,,Thiago Silva,Chelsea FC
2,2022-12-02,Group G,Cameroon,Brazil,1:0,0,on the bench,on the bench,Thiago Silva,Chelsea FC
3,2022-12-05,Round of 16,Brazil,South Korea,4:1,90,,,Thiago Silva,Chelsea FC
4,2022-12-09,Quarter-Finals,Croatia,Brazil,5:3 on pens,120,,,Thiago Silva,Chelsea FC
0,2022-11-21,Group B,USA,Wales,1:1,90,,,Christian Pulisic,Chelsea FC
1,2022-11-25,Group B,England,USA,0:0,90,,,Christian Pulisic,Chelsea FC
2,2022-11-29,Group B,Iran,USA,0:1,45,,46',Christian Pulisic,Chelsea FC
3,2022-12-03,Round of 16,Netherlands,USA,3:1,90,,,Christian Pulisic,Chelsea FC
0,2022-11-21,Group A,Senegal,Netherlands,0:2,90,,,Edouard Mendy,Chelsea FC
1,2022-11-25,Group A,Qatar,Senegal,1:3,90,,,Edouard Mendy,Chelsea FC
2,2022-11-29,Group A,Ecuador,Senegal,1:2,90,,,Edouard Mendy,Chelsea FC
3,2022-12-04,Round of 16,England,Senegal,3:0,90,,,Edouard Mendy,Chelsea FC
0,2022-11-24,Group G,Switzerland,Cameroon,1:0,90,,,Granit Xhaka,Arsenal FC
1,2022-11-28,Group G,Brazil,Switzerland,1:0,90,,,Granit Xhaka,Arsenal FC
2,2022-12-02,Group G,Serbia,Switzerland,2:3,90,,,Granit Xhaka,Arsenal FC
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,90,,,Granit Xhaka,Arsenal FC
0,2022-11-21,Group B,England,Iran,6:2,71,,71',Bukayo Saka,Arsenal FC
1,2022-11-25,Group B,England,USA,0:0,78,,78',Bukayo Saka,Arsenal FC
2,2022-11-29,Group B,Wales,England,0:3,0,on the bench,on the bench,Bukayo Saka,Arsenal FC
3,2022-12-04,Round of 16,England,Senegal,3:0,65,,65',Bukayo Saka,Arsenal FC
4,2022-12-10,Quarter-Finals,England,France,1:2,79,,79',Bukayo Saka,Arsenal FC
0,2022-11-23,Group E,Germany,Japan,1:2,45,46',,Takehiro Tomiyasu,Arsenal FC
1,2022-11-27,Group E,Japan,Costa Rica,0:1,0,on the bench,on the bench,Takehiro Tomiyasu,Arsenal FC
2,2022-12-01,Group E,Japan,Spain,2:1,21,69',,Takehiro Tomiyasu,Arsenal FC
3,2022-12-05,Round of 16,Japan,Croatia,2:4 on pens,120,,,Takehiro Tomiyasu,Arsenal FC
0,2022-11-24,Group H,Portugal,Ghana,3:2,90,,,Thomas Partey,Arsenal FC
1,2022-11-28,Group H,South Korea,Ghana,2:3,90,,,Thomas Partey,Arsenal FC
2,2022-12-02,Group H,Ghana,Uruguay,0:2,90,,,Thomas Partey,Arsenal FC
0,2022-11-24,Group G,Brazil,Serbia,2:0,3,87',,Gabriel Martinelli,Arsenal FC
1,2022-11-28,Group G,Brazil,Switzerland,1:0,0,on the bench,on the bench,Gabriel Martinelli,Arsenal FC
2,2022-12-02,Group G,Cameroon,Brazil,1:0,90,,,Gabriel Martinelli,Arsenal FC
3,2022-12-05,Round of 16,Brazil,South Korea,4:1,18,72',,Gabriel Martinelli,Arsenal FC
4,2022-12-09,Quarter-Finals,Croatia,Brazil,5:3 on pens,0,on the bench,on the bench,Gabriel Martinelli,Arsenal FC
0,2022-11-21,Group B,England,Iran,6:2,0,on the bench,on the bench,Aaron Ramsdale,Arsenal FC
1,2022-11-25,Group B,England,USA,0:0,0,on the bench,on the bench,Aaron Ramsdale,Arsenal FC
2,2022-11-29,Group B,Wales,England,0:3,0,on the bench,on the bench,Aaron Ramsdale,Arsenal FC
3,2022-12-04,Round of 16,England,Senegal,3:0,0,on the bench,on the bench,Aaron Ramsdale,Arsenal FC
4,2022-12-10,Quarter-Finals,England,France,1:2,0,on the bench,on the bench,Aaron Ramsdale,Arsenal FC
0,2022-11-24,Group H,Portugal,Ghana,3:2,0,Not in squad,Not in squad,Cédric Soares,Arsenal FC
1,2022-11-28,Group H,Portugal,Uruguay,2:0,0,Not in squad,Not in squad,Cédric Soares,Arsenal FC
2,2022-12-02,Group H,South Korea,Portugal,2:1,0,Not in squad,Not in squad,Cédric Soares,Arsenal FC
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,0,Not in squad,Not in squad,Cédric Soares,Arsenal FC
4,2022-12-10,Quarter-Finals,Morocco,Portugal,1:0,0,Not in squad,Not in squad,Cédric Soares,Arsenal FC
0,2022-11-21,Group B,England,Iran,6:2,0,on the bench,on the bench,Ben White,Arsenal FC
1,2022-11-25,Group B,England,USA,0:0,0,on the bench,on the bench,Ben White,Arsenal FC
2,2022-11-29,Group B,Wales,England,0:3,0,Not in squad,Not in squad,Ben White,Arsenal FC
3,2022-12-04,Round of 16,England,Senegal,3:0,0,Not in squad,Not in squad,Ben White,Arsenal FC
4,2022-12-10,Quarter-Finals,England,France,1:2,0,Not in squad,Not in squad,Ben White,Arsenal FC
0,2022-11-23,Group F,Belgium,Canada,1:0,0,Not in squad,Not in squad,Albert Sambi Lokonga,Arsenal FC
1,2022-11-27,Group F,Belgium,Morocco,0:2,0,Not in squad,Not in squad,Albert Sambi Lokonga,Arsenal FC
2,2022-12-01,Group F,Croatia,Belgium,0:0,0,Not in squad,Not in squad,Albert Sambi Lokonga,Arsenal FC
0,2022-11-24,Group G,Brazil,Serbia,2:0,11,79',,Gabriel Jesus,Arsenal FC
1,2022-11-28,Group G,Brazil,Switzerland,1:0,17,73',,Gabriel Jesus,Arsenal FC
2,2022-12-02,Group G,Cameroon,Brazil,1:0,64,,64',Gabriel Jesus,Arsenal FC
3,2022-12-05,Round of 16,Brazil,South Korea,4:1,0,Knee Injury,Knee Injury,Gabriel Jesus,Arsenal FC
4,2022-12-09,Quarter-Finals,Croatia,Brazil,5:3 on pens,0,Knee Injury,Knee Injury,Gabriel Jesus,Arsenal FC
0,2022-11-21,Group B,USA,Wales,1:1,90,,,Matt Turner,Arsenal FC
1,2022-11-25,Group B,England,USA,0:0,90,,,Matt Turner,Arsenal FC
2,2022-11-29,Group B,Iran,USA,0:1,90,,,Matt Turner,Arsenal FC
3,2022-12-03,Round of 16,Netherlands,USA,3:1,90,,,Matt Turner,Arsenal FC
0,2022-11-22,Group D,France,Australia,4:1,0,on the bench,on the bench,William Saliba,Arsenal FC
